ID,pro_soilOrder_0.5_deg_USDA
159,Alfisols
153,Andisols
156,Aridisols
161,Entisols
160,Inceptisols
155,Vertisols
150,Gelisols
151,Histosols
158,Mollisols
154,Oxisols
152,Spodisols
157,Ultisols
